challenge,response
0111000101110010,0
1011101110000011,0
0101110000111011,1
0100010101100010,1
0001111001011101,1
0010001001011111,1
1101110000101100,0
0010100100001010,1
1101011101101100,0
0001010111001111,1
0100010010101101,1
1000010000001001,1
1000100000001001,1
0100100000111010,1
0111100100001111,0
0011001100000111,1
0001001000111111,1
1001111110110111,0
1011001010101000,0
0111111011110001,0
1101111011111010,0
1110010110111110,0
1001100011010100,0
1111010101001001,0
0110010001101001,1
1110111010100011,0
0101000101000011,1
0100100110110010,1
1001000001001101,1
1000010010101111,1
1110111101010000,0
1101011110011011,0
1111110010101111,0
1111001011110101,0
1100000111111100,0
0011110101000110,1
1111011010111000,0
0101101100111011,1
1010000011001111,1
1010001100111000,0
1101101110000011,0
0100011000010001,1
1010111000110101,0
1010000011100101,0
1101100100111110,0
0110100000010110,1
0100111100010010,1
1111110101100000,0
0010011100010011,1
0011111010111011,0
0111010000100001,1
1100101010011001,0
0011011111000101,1
0010010001101001,1
1010001000011011,1
0101101000100000,1
0011000011000001,1
0101000000010001,1
0000000100111100,1
1100100100101100,0
0000100001010100,1
1100011101101000,0
1001000110101110,0
0100001100101100,1
1000010000000100,1
1011011110001101,0
0011101010111110,1
0110001101001101,1
0101111111010101,0
1100010101011001,0
0001010000101111,1
1100101000100100,0
0001101100011110,1
0000011011010111,1
0101001100101111,1
1001011100001110,0
0001011111010000,1
0100001100100010,1
0101011111000110,1
1011111010111100,0
1100010111101110,0
0101011001111110,0
0101000010110101,1
0011000001110110,1
0011010011010011,1
1111100101101100,0
0111000010010100,1
1100100110010100,0
0000010001110010,1
0000011000101000,1
1001100110111100,0
0111110110111110,0
1011000011001000,0
0111101100100001,0
0100000101001001,1
0111000111001011,0
0101100110001001,1
0110100110111011,0
0110010010010111,1
0101010011010110,1
0100011101001001,1
1000101111000010,0
0111110000100011,0
0100111100100110,1
0000000101001000,1
1010000111101011,0
1110010101111000,0
1001011001111110,0
0111001000001111,1
1000110001111001,0
0111111011000101,0
0100001001101010,1
0010011101110100,1
0100101101111111,0
1100011000100110,0
0101110010001100,1
1000000111011111,0
0001001110011011,1
0110001100110110,1
0000010110101100,1
1100011000000110,0
0010110010111111,1
1100010000000001,1
1011000101111001,0
0001010000100111,1
0111110100001111,0
1111010010010101,0
1101011101111010,0
0001001011100001,1
0111100100111011,0
1100011011000100,0
0010101001001000,1
1010000010110100,1
0111111101101100,0
0110001011001001,1
1100011110111111,0
1100000110111100,0
1000101100100000,1
0000001000110101,1
1001001111001111,0
1000011111101111,0
1110010101010101,0
1010001111111100,0
1111011011100011,0
0010011100110100,1
0011000011101001,1
1010110110101110,0
1010011011000111,0
1010100101101100,0
0100010111111011,1
0100110010101000,1
0010110011000101,1
0101110110011110,0
0000110011011000,1
1110100110000010,0
0100111001111011,0
0010000100000100,1
0000110111100000,1
0010010001110010,1
1110000011000010,0
1111001010110101,0
1000101110101010,1
1010011111001000,0
0010010010001110,1
1110101110111011,0
0111011101010101,0
1111000010001010,0
0010111001110100,1
0001010010110001,1
0100000001100101,1
0100001100110010,1
0100100101100011,1
1010011100111011,0
0011100001100101,1
1011011000101010,0
1101000110101010,0
0111100100011101,0
1111001100110010,0
0010001010001011,1
0100010011011100,1
1110001011101111,0
1000010110101000,1
0011100110011001,1
0010001111110111,1
0111110001100001,0
0000110001111000,1
0010111000000111,1
0110100010111101,1
1001111111000001,0
0110001111011001,1
1011011101101000,0
1010101011000000,1
1001100110010111,0
0001100010111111,1
1010011011001011,0
0001011010100010,1
0100110001101001,1
1111000011101000,0
1101010011101110,0
0100110110010010,1
0100010101111010,1
1000001101100100,1
0100001011010110,1
1010000110111100,0
0011010101100101,1
0101001001101011,1
1110001010101001,0
1101010011011011,0
1001111000100110,0
0011010111101111,1
1010011010101110,0
0100001110000110,1
0110010100110101,1
1011110010110101,0
0110011011100000,1
1000000001111011,1
1010010001010011,1
1000010011000010,1
1111111101001010,0
0001111000000100,1
1000001101111011,1
1001110101000001,1
0010000010011100,1
0010111011010101,1
1110100000100000,0
1110111010101011,0
0100001010100100,1
0110000110010011,1
0111011000111110,0
0100101101000111,1
0111100111101111,0
1000101100010001,1
0100111100100011,1
0111111111001001,0
0000011000100000,1
1000001011100011,0
1111010110010010,0
1010000111101110,0
0110111100011110,0
1011001111000010,0
0001101011011010,1
0100011001101001,1
1101011100011110,0
0010110110010001,1
1001110110111010,0
0000101001001101,1
1111001010100001,0
0100000001010110,1
0110110010010110,0
0111100100110011,0
0001001100011001,1
1110100101000111,0
1001001110110100,0
1010101100110001,0
1001001101001111,1
0011001100000100,1
0111001011010111,0
0111111110110100,0
0001110100001000,1
0001001010111101,1
1001101100110001,0
1110101100000111,0
1111110000110101,0
1100110110001100,0
1001101010101101,0
0011000100100010,1
0101110011011000,1
0100001101010001,1
1110111010000011,0
1100001001000111,0
1100001100010001,0
1011110100101000,0
0111101100000001,1
0110100011000100,1
1101011011000110,0
0010001110011000,1
1001110110100101,0
0000010010100100,1
1101000011101010,0
0110000110111010,1
1110100100111101,0
0010001101100001,1
1100110111010111,0
0010010011110010,1
1000011110110101,1
0011001110111000,1
1100100101100110,0
0110111100001011,0
0010000001110111,1
1110111111111111,0
0101011111000011,1
0010111110011101,1
1011000011101010,0
1101101010101000,0
1010100101110010,0
0111010010000100,1
1100100000111001,0
1101001010010111,0
1001001101100101,0
1001000101100110,1
0101000001100010,1
1001000101000101,1
1111011111100000,0
0111000001101111,0
1001011011101110,0
0111001011000001,1
0011100110011111,1
0011110001010111,1
0111111001101111,0
0101100100000101,1
0001010101110101,1
1101100000100001,0
0111101101000010,0
0111111100101111,0
0101100111111001,1
0011111001100101,1
1101001100000011,0
0111010010011100,0
0010101111001101,1
1010010001111101,0
0001010111001011,1
1101001101011011,0
1001001000011100,1
1010010101110110,0
1011111011110011,0
1011010111100100,0
0111110100110110,0
1000110100111001,0
1101001010101110,0
0110101110010011,1
0000011011000110,1
1010110111001010,0
0110000001101101,1
1100101100001010,0
0010000011101001,1
1111111110110100,0
1001100111101111,0
1001001001110001,1
0110110001010100,1
1100101001101110,0
1111001011011001,0
0000111001100111,1
0011111010011010,0
0100000110010110,1
1101111001010010,0
1111001011001010,0
0111101001110101,0
0000110011010100,1
0111001101001000,0
0001111011010001,1
1111010000001001,0
1011000001010011,0
0110100000100101,1
1100110000111000,0
1110100010110100,0
0100111111101100,0
1110000000001000,0
1111011111001011,0
0111111011000110,0
1111110011111111,0
1011110010000010,0
0010001001000110,1
1001001101010100,1
0000110111101001,1
1110111111000101,0
1110111000100011,0
0010101011101101,1
0001000001010011,1
1010100101111110,0
1100010010100001,0
0100100000101000,1
0110010100110001,1
1011111001110101,0
1110000110110000,0
1110101100101101,0
0101110000111111,1
1001110111111001,0
0110011000001000,1
0111000111101010,0
1101010110111011,0
1001110101101110,0
0001001001101000,1
0001101001111111,1
1011010111100101,0
1111001101011111,0
0100101110101011,1
0011011001101000,1
0111110011100011,0
1100111001001001,0
1001000101001100,0
0111100000000110,1
0011000101111001,1
0110001011000111,1
1110110000011000,0
1010011001001011,0
0110101111011101,0
1111010001010000,0
