challenge,response
0000101010000000,0
1110110101011010,0
0011110101001000,1
1000010111100001,1
1101110110101010,0
1100010001001101,1
1000100110010101,1
0010111100010101,1
1001010110101011,0
0111100011100110,1
0010101101010110,1
1101000011000100,0
0010001000000100,1
1001110100001100,0
0010101000001110,1
0100000001000011,1
1100101110010000,0
0100101001011111,0
0001001000010101,1
1000011000100001,1
0111001011101111,0
1101010010101110,0
1100101111011001,0
1010111100101101,0
1000010000110111,1
1010000001010011,1
0100000101000100,1
1011100100110111,0
1011101101001010,0
0001111110100101,1
1011001111010001,0
1101010010010110,0
1100010010101101,0
0100011001000110,1
1010100111101100,0
0101010100101010,1
1111001111111110,0
0010110110110000,1
0010011111010001,1
0001011010001110,1
0011111110011001,0
1010011110110011,0
0011000111011001,1
1110111001111000,0
0100001001011010,1
1110111011111001,0
1111001000011111,0
1110010110110110,0
0011010010011010,1
1010011000101100,0
1101110110000111,0
0000111100001000,1
1000000100101011,0
1010111001001011,0
1000001101111100,1
1100010001010111,0
0110100101010000,1
0010010011110100,1
0111010110110111,0
1111101111111010,0
1000100001100101,1
1000110000011110,1
0110101001111000,1
0101101011000010,1
1011101001000101,0
1101111111000001,0
1101110011011010,0
0100000011000100,1
0010100001011100,1
0101000000111000,1
1111100100110110,0
0010110101101011,1
0101110110101110,0
0011010000000101,1
1100011010011111,0
0111000111101010,1
1011101110111101,0
1100001101011000,1
1011000000000011,1
0110101101000001,1
1110110001101001,0
1111001100110001,0
1011101011001001,0
0011001110100001,1
1010011111100111,0
1011100000011000,0
1110101110100010,0
1100001100111010,0
1010010100001101,1
1010110100111100,0
1000001101011011,1
0110000111101101,1
0101110101101001,1
0001011000111100,1
0001111101111000,1
1000000110101010,1
0100000100101111,1
0100110000011010,1
0011010100011001,0
1000111111000011,0
0100111011011010,1
1110010100001011,0
1111010101001111,0
1000110110101101,1
1111100111001111,0
0011010101011000,1
1101110010111110,0
1011000010011110,1
0000000101111011,1
0000101010010111,1
1011011111110110,0
0011000100101001,1
1011000111100011,0
1101111001001011,0
0101101100001011,1
0100111001111000,1
0110111011100010,0
0111001101010101,1
1011001111110111,0
1110111011111100,0
0111000101100101,1
1100010001100111,0
0110101011101001,0
0110111101101010,0
1101110001110010,0
1111011100101011,0
1100101001101111,0
1110111110101101,0
1111100110010100,0
1010010000100000,1
0011100011000010,1
1110111000101010,0
0111000000100001,1
0101100110100100,1
1010100000011011,0
1110011010111000,0
1001101000111000,1
0010100101110000,1
1011000110100000,0
0100111101011101,0
0010000110011110,1
1100111011101011,0
0101011110100010,1
1001001101101101,0
0110101110001010,1
1110111101010010,0
1111101100100100,0
0101100110010100,1
0011011011101000,1
1000100111111101,0
1010000000101111,1
1010010110010111,0
1001100000111010,1
0010111001011100,1
0011111010011011,0
1000111110101000,1
0101010001001000,1
1110100000011110,0
1100100010110101,0
0101101000001001,1
0100100111010100,1
0101000011001010,1
0100111010110010,1
1001000001010111,1
0000010101101011,1
0001010111011101,1
1100000010011111,1
0001011000101000,1
1000110010111010,0
0111100000110110,1
1110011001110010,0
0110110011111110,0
1110110000101001,1
0010101100111011,1
1111010111001001,0
0011010010100100,1
0110010011111000,0
1110000110011000,0
0010111111001010,0
1111110011000011,0
1001000001001111,1
0001100000011111,1
0001111011001100,1
1000111101100011,0
0101010111110001,1
1101011111100000,0
1101000100100100,1
0111011000011110,0
0000000010110111,1
0100010110100100,0
0100011110111101,0
0001100110010010,1
1001010010010011,0
0110011010001000,1
0001001011010011,1
0111100000001001,1
0011100110100111,0
1011110101101010,0
0110111101001010,0
0101001001111000,1
1001101100001001,1
1011001000101001,0
1010110000010110,1
0011110011111000,0
0011010110000100,1
0110100001011100,1
1101110000100000,0
1000001110001111,0
0110011000001110,1
0000000000001101,1
0011101011101110,0
1011010111000000,1
0001000011100101,1
1110111111000010,0
0111100010100010,0
1110110110111110,0
0110100101100110,1
0100001011100101,1
1011011000111110,0
1111110100011001,0
1001101011100110,0
0001011101111000,1
0110100110100011,0
0101100011010011,1
0011111001000111,1
1111101100110110,0
0111000101100111,1
1001100010001000,1
0110010111000101,0
0001011100110100,1
1011101000100110,0
1000001000000111,1
0001011010010110,1
1000001100010011,1
0110010110001011,1
1000010001011101,0
0101011000011101,1
1111101101011000,0
1101010110111100,0
1010101111000111,0
1100011001001111,0
1001101000100011,0
1101010001101000,0
0011010001111101,0
0110000000000000,1
0010010011010001,0
1010011101011010,0
1111110100110100,0
0011101110001001,1
1010010110010101,0
1110101001010100,0
1000000001100110,1
1111001100100101,0
1001000001101010,0
0101010001110101,1
0001001101101010,1
1100010101010101,0
1011100010011110,0
0111110011000100,0
0101111011011110,0
0111100111110110,0
1111011000100010,0
0001010110110111,0
1110000110001101,0
1100011100100101,0
1111100100011011,0
0001010101011001,1
0101010010110111,1
1100101100100001,1
0111101011110001,0
0110101111101010,1
0001010100010011,1
1111011111101011,0
1100100001001011,1
1100101011101000,0
1010010111100111,0
0101010000000010,1
0000110010010110,1
1110111100011010,0
0100111101011001,1
0010011111000100,1
0010000101001001,1
0011010110001001,1
1111100100111111,0
0001010111110100,1
0111000001100010,0
0001001111001011,1
0100110111110111,0
1010100100111001,1
0011000001011100,1
0111000010001100,1
0011100100010011,1
1100001011000000,1
1010101010110010,0
1100101111011010,0
1001001000100110,1
1010101000010111,0
1000101000000010,1
1000011100000111,1
1000001110110001,1
0110000101001010,1
1100110110011110,0
1001001110100111,0
0100001001111111,1
1101001001001101,0
0000101100110010,1
1111110110110110,0
1010100110111111,0
0000100100110001,1
0011101011011011,0
0110000000100100,1
0011011000110010,1
0110111111000011,0
0110101010010001,1
1101100100001001,0
1011101010111110,0
1011001001110111,0
0011101001010001,1
1010100001000011,0
1010100100100101,0
1100100111001100,0
0000101111000011,1
0001001101001000,1
1111110110011101,0
1101100101110101,0
0011011100011101,1
1111101110110100,0
0000100100110011,1
1100111000000001,1
1010010011110110,0
0011101101010111,1
0110010000000001,1
1001010001011001,0
1011111010101110,0
0101111111001100,1
0010000100010011,1
0100101001100010,1
0011100101110110,0
1000100011010111,1
1010010110001101,1
1000111000100001,1
0100010110111011,1
1111111100100000,0
1100010000000010,1
0110111010001110,0
1011010101100000,0
1111010101100010,0
0010111110011001,1
0100011010011111,1
0011000011011111,1
0010001011101000,1
0010010110000010,1
1011000111011111,0
0000100010111001,1
0000111001001100,1
0100101010001111,0
0000110101110101,1
0101000000000110,1
0011010100111110,1
1000101011010011,1
1001000010100000,1
1011010111011010,0
0010001011100011,1
0111110101101110,0
1101100101010010,0
1100111011100001,0
1111010110110010,0
1001000110110110,1
1000011100010011,1
1101111101010010,0
1100101101111001,0
0100101011010010,1
0001000000010111,1
1011010110100011,0
0101111111000001,0
1010000011111001,1
0010111100100100,1
0010110101100000,1
1011100000101000,0
1110111110010110,0
1111010110001101,0
0100010101110111,1
1110010111010110,0
0010011010001101,1
1100100000110010,1
1111101100100010,0
