challenge,response
00100010011001011011000111110101,1
10010001101101110101100001001010,1
11011000111100010110101011011111,1
11001101011000010011111000110000,0
11000011100001101011101111000100,0
00010000001001111100010011010001,1
01000001010011000011010000111100,1
00011110001011111110101110001001,1
01111110110101001101010101111011,0
11000010110011100110111101000100,0
01110011000100011101100010100011,1
01111000111001010001000001100001,0
10100110110011101100110000011011,1
01100001001011100111011010010110,0
11001001111010011100011000010110,0
00110101101111111001100100101101,0
00011000000001110010111010001100,0
01111100111001000010110010000010,1
00000111010000011100011110101000,0
11100100101100000110110011100110,1
11010101111101001011001110110010,0
01100011110010101000001010001101,1
01101110110010011101001010000110,0
10011011100000010000111001110110,1
11000011001001001100100110000101,1
11000100011001000111000101011001,1
00000000100010100000010110100110,0
10110010001000100001101001011000,1
01110010000001001110010100101101,1
01000100001011100011110101000011,0
10111000101101101101100011111110,1
11001101010001000111111000110101,0
00111010100100000010100100110001,0
10010111010101011101010011000001,1
11110001111111010100001010100010,0
00011010001010111000111100011111,0
11100110110000111111001100111001,1
01010001010000110001000110010011,1
00000111110101001011111011011100,1
00000101101101101110011011100011,0
00000110100000111001111010111001,0
10100110010010001010011111011101,1
10001010100110100000001000011110,1
00000010010110110100000100111111,0
11110000011011000001010001001010,0
11100001100110001000101011011001,1
01100001100101101001100111001111,0
10101111101111010110011111111001,1
00110111011100110000111011011111,1
11111000000100110000110001000010,0
01101100000011111101010011110101,0
10111001110100010111100111100000,1
00000111011011110011011110000111,0
10000111000100101011100010111100,0
00111000110000001100100011111101,0
11000011100000011110100010001111,0
01110000000110010110011010100000,0
11110000011011010011111111101111,0
01111110111011011000110100010100,0
10001101100010000011010010001010,1
00111011101010110110110000111001,1
01011000011111111101001010000000,0
00111011000110100001000111011111,1
10101101010001011111001000111101,0
00111000000000100000100010101001,1
11000010110011010111100010011010,0
01110101101010001001001010010100,1
11110011110001100100101011110111,1
01001010001011110010000010101010,1
11101101001011111000100111011001,0
00000101100000000101100101110101,0
01101010100010101100010010111010,1
11010110011010111000001010011110,0
11101010100100001010100011110000,1
10001110011100111100101001000111,0
11101100000101001000110010110100,0
10100100011011010110011101010011,1
00011001100110011001111000111111,0
00101111100101111000110110000111,0
10100001000111010100010110011010,1
11111110000101110101001100110000,1
10111001010000000110011111101101,1
11011100001001010111010010111101,0
01001011111000000011110110110000,1
00011110111100101010010011110000,1
10111110001111101101110000001010,0
01010101001010111000001011110110,0
11100101010001000110110111010100,1
10111000101100110011001110101000,1
11111001001001110000111101001110,1
10110110000100001010100111110111,0
10000000001101000110100010110110,0
11101111101110101001000111111100,1
11110111100110110001011110101110,0
01101100000011110011010001011001,1
10000001111110011100000111110110,0
11010100011111010011100000001101,1
11101001000000011110001101011100,0
10101011100110010010010101001010,0
00110000100110011111110111110101,0
01001101101010011000111100011101,1
01001000101111101010101100010011,1
10010110011010111010111010100001,0
11111001001101000001110001101000,0
11100001111010100010010011000100,1
01111111110101100011000100010110,0
11011000101000000110010011011111,0
11110000110111111011010010100101,0
10000001010110100100011111000101,1
01100100101100101101001010111100,1
10010110110010001101101000011001,0
11011010011100010001010001001000,0
00001000110101101010111101010111,1
01111010111100000010011110111100,0
00111110001001000011010011100011,0
10111110011001010010000111001100,1
11001100001000101010111101011000,1
01100111011111110110110010111101,0
01101010000100000111101101110101,1
10101010001011001010000110101111,1
00101100010010100011011010011000,1
01011101111110111101001111010001,1
10001100011111100001001101001111,0
11100001111110101011100111010111,0
10110011111110100111101010100111,1
11000110100111010100101111011000,1
10101100101010110001101001101011,1
10111100111110111011000001010000,1
01011111111011001000100110001111,0
00010110001000101011110101111001,0
01110000010111111100101000010110,0
10101001111011000000100000000110,0
10000010001010000011110100010101,1
00011011101000010110001000010101,0
11000111010010000000001111100011,0
00101001111010000010000110100100,0
10000101010111000011100001000100,0
11010111000001110001000001111110,1
01100100101011000101110110111001,1
01011110110110101001001011011000,1
01111101010111001000110111111100,0
10111011100101101000101001000011,1
00000111100100100011100110000110,1
01111000001001010101110101101000,1
00001011001000011111101110101100,1
01001110111110111100100011010110,1
10110100000100001101100100111100,0
11011001001010100100101010100010,1
11111011101100100011000010111011,0
10011101011001000011110000100101,0
10010111110110101110001110001101,1
10010100000000110101011000001101,1
01100100110000101111001011100011,0
10100101101011000000011011011000,1
00101011100111000000000101001110,0
00101011001010001111111011110000,0
10000000100100101011010011010100,1
00111010000110001001000011000111,0
11111011011010010101111111111011,1
00000011001001100011001001001101,0
11000101010000010000000100111101,1
00110011000100111000000100110001,1
10001010001001000101111001101011,1
11101011100010101100100011001110,0
11011100001110111111001101100100,0
10001100010111111110100011111000,0
00111011011011111110010100000111,0
01100111100010100101101010100011,0
10000011100001101000101000101001,1
01011000000001001111100100100010,0
11110011110101001110011100010001,1
11011000111100110011010000011000,0
10010011111010100101110001001110,1
01011010011100000010110011111010,0
01110101100010011010100000101011,0
11101000111001011011010001100001,0
01000100111011110111111111101011,0
10101000110000100100110101000010,1
10001100010010010111110001101000,1
10011011111000111100111011001011,1
11110101000001011001001010000101,1
10111010101110011111100001111111,0
00000001011101100010011101000001,0
01100010001110010111101111000111,1
11001000100111011010000100011011,1
11011011011000010000010010000111,1
11010010000010110101110101011001,0
11110100011000111011001100110111,0
11100010110111001010101000110111,1
11110000001111101101110010100111,0
10111101100100011010000110110111,0
10000011001100110011001000011000,1
11001111001000111100101011101000,1
00100001000101100111110110001111,1
10000100110010000001100110011001,1
11000111000000111000000001101001,1
10001111101101010010011000101100,0
00110100100110101010111010010000,1
01101101000101000100011101011011,1
11110011001000001100110101010111,0
00001110010111100001100010111010,0
01111011001010010111110100001011,1
11011110101110001111110001001100,1
01011101010111110101011101101100,1
10010001111010110111100111111010,1
10001101111011010011110010010110,0
00110011001010001010110100001000,1
11110000111001100100001011110100,0
10000001001101010101110001010011,1
01101001110101001001010111011101,1
01111100001001000000110101001001,1
11010000001101111100110111111111,0
01011011010101101001011001000011,0
01101010000101111011100110101111,1
01011000100110001001000000001000,0
00000000011001111101101110101000,0
10001001110110011011111100000010,0
10001010010001001001111010111110,0
10011111100111010000000100101001,1
11001001010101000110101101000011,0
10011100110010011010111101001110,0
01010100110001010110110010011010,0
01110101010010010001101111000011,1
10011001100100000001110000000100,0
00000111001010010101111001000010,0
11001101111110000100010000000100,0
00111010110001110110010100101100,0
10100010101001111010111000011111,0
00101101010111011011011110011011,1
10001100111111100101110011010001,0
10010101100111110011101001010001,1
00101110010001111101110000001110,1
11011100011010110001001110101011,1
00010111011100110011000010001100,0
11001100011001100111111010010111,1
10001101000100000011111011010011,0
11001100000011101001010111101110,0
11011001111011010001011111100011,0
11010001000000100000101000010101,1
11101110010100101011110110110110,0
01000001010110101111001101000001,0
00001000010011110011110111010110,1
11010111011111001001011011000000,1
11110001100011011101000111101110,1
10101100010100010010101100000001,1
00010010000010010011110100100110,1
00010101010011101101010100010010,1
11011110001110100101110110110101,1
00000100010001011101011001010110,0
01110011111101111011101010001110,0
00000011101110100011001111011011,1
11000001000011111010101001000000,1
11000001011011100010001010000100,0
01000111111111001000000101101010,0
00111111111000110001110100000011,0
01000100110001011011010001110110,1
00011100000001110111001001001110,0
11001100000110110000110000111110,1
10011111111100110000011110001111,1
00101111010000101001110011100101,0
01011000001011000001100011001001,0
01001010010100000001001011011100,1
00010001110010111100001010001000,1
00101010110111110101010110011010,0
00101000110111010011011111101011,0
01000001010101011101011111101111,1
10000111000000100110011011000100,0
11110011101100110111111100110010,0
00101011000010111000110000010010,1
10101000000110101010010000001010,1
01000101110111011011100001111101,0
10100101111100001001111001100011,0
10110110001010101100000111111110,1
01001011011000111110000011101111,0
01110100011001110101001101111010,0
10110011110111110100010010100100,1
01010010011011101011010100100011,1
01111111000110100011010101011110,1
01111001010010010000111010101011,1
00011101001110111001100100111111,0
00000110000011001110101001100011,1
01001111110111111000111000011010,0
01100010111101010110100000001100,0
01010111111001010100101011001100,1
01101011110000010101001110000101,0
11001011110100111111010111100000,0
00110000001000110101100000001100,1
01000010001001111101111000100001,1
00011011110101111100111001110011,0
01000000111000101010001000001010,0
11100110010110101000000101001001,1
10111010111010110100000110100101,0
10000010100101101111010111101010,0
11111010000010111000010100011000,0
00110101100001101111110010100111,0
11110111001011110010101110111000,0
10011011000010111100101000010110,1
01101110100000001111101001001000,1
11010001001010011000001011100100,1
11111001101111011101111010100101,0
00000101010101000101010111101000,0
00111001101100100001110010010101,1
00000100100100101100010011110101,1
01100101101101100111010111001101,1
00100101011111101000010001010100,0
00001001000010110010000010111011,0
10111000000001011001100111101001,0
11110101101110111001000110001000,0
00101001000001001010110011101100,0
01110010000101110101010011101111,1
10110100011000010000100011001100,0
10000001100111010111110010100111,0
10101101100111001110110111011110,1
01101101001110011110101101000011,0
10001011011100011001100111001101,0
11010101000011100000000010010111,1
00111000011110010011100110011011,0
11111010000110110001101111110001,0
11111001110000001000111111101111,1
10100001011110100100001101000000,0
11001100001111010101010100000110,0
10110001111011101101101011111111,0
10000100001111111101110110100111,0
01110011011010101001010001111010,0
00111001001000110101101111000000,0
10000110000111100000001011101100,1
10100110000001001000010001010111,0
00000111110110111111100100100100,0
01100101000110000000100100111101,0
10101100110001100110101001010111,0
10010011011010101010010000001100,1
11001101101010101010110001000011,1
01010010001111010010101001010100,0
10101000111010100011011111110111,1
10100001100001011100110010001110,0
01101101001000011111010011001101,0
00001111000011001000101010001001,1
10111100110010011001101011101000,0
01001100011100010111000010010101,0
00100000001011001100100000101000,0
11110111110010001000001011110100,0
00110110010011100100001100111111,0
11100000001000110000001100111101,1
00001100001001010000101000000011,0
01001110011011110101101010010100,1
00010010000110110010100000000000,0
11011011110001111001100110110000,1
00010011100100011111100110111001,0
01001111011100111111110110010100,1
11101010110011000001000100001110,1
11110000011101010011010011111110,0
01001100010000011101100111000000,0
10111110011011000110111111101001,1
00101000100000000100011110010000,0
01101010100010100100001111101111,1
10010000100111111111010010010111,0
01000000100110101000101001111000,1
00100001011000010101000000100010,0
00000010001010111100001100100000,0
10001111100010110010101110000011,1
11100000111100111010011111101111,0
11011001101111000001110110010111,1
00001001101101001110010111010010,1
10010111001100001000001011010110,0
11010001110001010001111110000110,0
00110111101101000000000000001011,1
11110110010100101101000000001000,0
11100110100110111010111000101001,1
10010001111111011110100001011100,0
01110101111110100110110111011000,0
00101011111010001000101101000110,1
11010011111100100001110111001100,0
11011110001001101110011001010101,0
11011110101100001110000001100110,0
11111001010010010101010101101000,0
11000111101011110011011000100110,0
10110100001110101101110001001111,1
10011111011110100111110110101111,1
