challenge,response
0011111000111011,1
1110001000000101,0
0010010110111100,1
1111010000000000,1
1011111111110001,0
1110011011111010,0
1000000111101010,0
1010111001100000,1
0011010100000101,0
1100110110100011,1
0001111110010000,0
0110010010011001,0
1111000111000111,1
0010011110010101,1
0101000001000100,0
1110001011001100,1
1010011101101111,0
0110110010010001,1
0101000101001101,1
1001001001001011,1
1010100000100011,0
0111001110100110,1
1111011010101010,1
1000110100010011,0
1010011101010100,1
0000011100100010,1
0000100110111100,0
0011001011011000,1
0011011110110100,1
0001111011100100,0
0001011110101100,1
1111100011011001,0
0110111001011110,1
1110100111011100,0
1110000010000011,1
1111000011110001,0
0010100010000010,0
1000111001011010,0
0000011000101100,0
1001000100010010,0
1001011010100010,1
0000011100100110,1
1100110000101110,0
1001100100010111,0
0011111001010010,1
0101001110110110,0
1101100110001011,1
0010000000100011,1
0000001010010000,0
0100011001110001,0
1011010100001111,1
1100110100010001,0
1010100001010100,1
0000010011001001,1
0001110110000010,1
0001110001001100,0
1001110010001001,0
1000010101000001,0
0110100111111101,1
1000011001111101,1
1100011001110001,1
1000011001011011,0
1101110101000100,1
1000110001101101,0
0110110101000111,0
0101100100010001,0
1000000101010110,0
0110110101101011,1
0101100111011111,1
1010010001110011,1
0100010000100000,0
0110010011010101,0
0111111110111101,1
0010101110111000,0
0010101110011100,1
1100010110011001,1
1101010110001111,1
1001000000100011,1
1000001110011110,0
0100110101100100,0
0100000111011011,0
1000000000000100,1
1001111001111110,1
0101110100001110,0
0110101000101111,0
0110000010100001,1
0110011100011001,1
0111001110000110,0
0000010101001110,0
0010010011100010,1
0011011001000001,1
0001000011001010,1
0011110101001011,1
0111011010100011,0
1100010000101111,0
0100101000111111,1
1011101011101100,0
1111011101100011,1
0001100100100110,0
0001010001000001,0
1011011001011011,1
1011100000010110,1
0110010101010110,1
0000101101001010,1
0110111010000101,1
1101000010110110,1
1001001001111110,1
0011011110110010,0
1001101000001000,0
1011111000100001,0
1110000000011010,0
0111010011111101,1
0010110010010111,1
1000101010111111,1
0110110000010110,0
1011000101101101,0
0111100000100011,1
0011001101100010,1
1101001010011011,1
0010100000100001,1
1110111000110000,0
1101110011011001,1
1000011110111001,0
0011000100101111,1
0111111000100000,1
1101000111100010,0
0011100011011010,1
0100000110110111,1
0100100010101110,1
1010011110101111,0
0110110100000001,0
1001101101110000,1
1000101000111000,1
0000010001111001,1
1011101110010101,1
1010101101011110,1
0100011110001001,1
0000110101100100,1
0100111001101101,0
0111100010001011,1
0001000110010010,0
0010101111000101,0
0011101111010000,0
0111110010101101,0
1000110000000101,0
1000001100011100,1
1000011101101010,1
1011011000011001,0
1000111000000001,0
1011001001100001,0
0010110101000001,0
0100010110110000,0
1101010100001101,0
1100101100101110,1
1001001001101001,1
0000100100111100,1
0000000001011001,1
0110110000001101,0
0000010000001101,1
1000001111101100,1
0100000000000111,0
1111101101101001,1
0111110001000100,0
0011100010001001,1
0011011111100101,1
0000010101101100,1
1001001110001010,1
1000110011100001,1
0100100001000100,0
1000111011010101,0
1001100000011010,1
0011001101101100,0
1110110111101111,0
0110001111001111,0
1001001011111001,0
0110101001011011,1
0100010001001011,0
0100000010000100,1
0010001001011101,1
0000001010010110,0
1100111101011111,0
0110101101111110,1
0110100111100000,0
0101110100101100,1
0110011101111000,0
1101011100010101,1
1110101111011011,1
1000011110001100,1
1011011100100100,1
0111000010100000,1
0100010111111010,0
0101100010100000,1
1010111011000110,1
1111110000100001,1
1101011101111010,0
0100001100110000,0
1111000101100000,0
1011110100111111,0
0101000101010101,1
1000000111011011,0
0101011000101110,1
1000000101000011,0
1100000011111110,0
1110100001111011,1
0110110100110100,1
1111111011101001,1
0101010111110110,1
1100001001011001,0
1100010011010001,0
0001000101001000,1
1000111001110001,1
1100001111101110,1
0110011100101111,0
1011011000001001,1
1111010111100001,1
0110000101111101,1
1011011001100001,1
1100101001110110,1
0010001111101011,1
1011111010010000,1
0000001011001001,0
0001111001110101,1
1111000001101000,0
0000111101011000,1
1110001100101100,1
1100111001110111,1
1000000101100110,0
1111110111011000,0
1100010011100101,1
1001100001010111,1
1011111110011011,1
1100011110001110,1
0101111111100011,1
1011110010001100,0
1010001000011011,0
0000010011010101,1
1010011100011100,0
0010101000000111,0
0010111101110000,0
0000001011011000,1
1100101000011100,0
0111110001111110,0
1101111100110000,0
0111101101100100,0
1101010001101011,0
0011000100111001,1
1110100110011110,0
1000111110100111,0
0100000101011111,1
1000111000111100,1
0010101001011111,1
1110100010010011,0
0101011011011100,1
0011111010001100,1
1110010110111011,1
1111100001101010,1
0010100100010100,0
0001001001010111,0
0001111100100010,0
1110101001010100,0
0101101010100110,0
1000101111111010,0
1010110011000110,1
0100110100110011,0
0010010010001111,1
0011011000000101,1
1011010000010100,1
1010010010001110,1
1110100000000100,0
0010000011001010,1
1001100100100110,1
0011111000101101,1
1000100110010110,0
0111000000000101,1
1111110111100000,1
1110011000010110,1
0101100000000100,0
1001010111101101,0
1000001110001101,1
0001010111011100,1
1100010101101001,1
1001001110110101,0
0000101011010010,1
1001101101011111,0
1111000010101001,0
1110011111111000,0
1001101010011010,1
0101100001001111,0
0101101010000010,1
0011110111101001,0
0110100101000110,0
0001101101100010,1
1111010100001111,1
0000101000101100,1
0000001001000011,1
0000110000011100,1
1110011101011100,0
0001011011010101,1
1001100100101011,0
0010000100101011,0
0001100111111111,1
1101001110000011,1
1100000000010011,1
0111001110110001,0
1001111110011101,0
1001101001001001,1
0011101101111100,1
0110000010101010,1
0111011010101101,1
1110101011000100,1
1000111110010011,0
1011001011000110,1
1101111100100100,0
0110011000101011,0
1010001001111111,1
0001111100011110,1
1101011111011110,0
0111111001101111,1
1110000011100011,1
1111101011001010,1
0111000111011010,1
1001100010011110,0
1000000001101011,0
1001100011110111,1
0111011101101011,0
1111111100010001,1
0010111011001111,0
1000010101111010,0
1001001001111101,0
0011010001011001,0
1101100101011110,1
1111001111101001,0
0110100100101011,0
0011010101111101,1
0001101010100001,1
0111111000101100,1
0010001101101011,0
1000101011110111,1
1101111010110111,0
1110011000011010,1
1110100100011000,0
1110011101100011,0
1011100100111001,1
1000111010001111,0
1110010010010000,1
1101010010001000,1
0011010011111111,1
1001010111110010,0
0001101100100111,1
0111001111101101,1
0010110101011010,1
1111101011000010,0
1000001001110000,0
1111100010001100,1
0001010000111001,0
1110111001011001,0
1101011011100000,1
1001111010111000,0
0011000000010001,1
0100011100100100,1
0011111101100101,0
1001011001101100,0
0001110110110100,1
0010010011001011,1
0110011000011111,1
1101110110000000,1
1111011010100100,1
1101010111100001,1
1010111110000010,1
1111010101000011,1
1100110111011101,0
0111101001101110,1
1101011011010000,1
0010110011011001,0
1100110101110100,1
1110100101001010,1
1100010101001110,0
1000011000011110,1
0011100000110111,0
1011001001100000,0
0110011100010110,1
