challenge,response
0100110110001010,1
1010011100110011,1
1100100101011001,0
1100001100110011,1
0001001000100010,0
1011111011101111,0
0111000110011111,0
0011100011101000,0
1110010010111000,0
1001101000010001,0
1100110011111110,0
1010011110000001,0
0001011100010001,1
1110100011101011,0
1000110101111101,1
0101010010001010,0
1101000010101000,0
0110110110101110,1
0010111000101100,1
0110100100010011,0
0000011101100011,1
1100110110001111,1
1011101111001000,0
0010011101011000,1
0001111001000100,1
1110001100101110,1
1001111111000000,0
1101011011010000,0
0101010110110110,1
0001111011001100,1
0101101100000110,1
1011100101011100,0
0101000010000101,0
0110011110101101,1
0000101001000100,0
0111000011111000,0
0000111111101110,1
0100110110010111,0
0011111010101100,1
1001001110111011,0
1111010111001110,1
0001100100111001,1
0011111001110111,1
0000100000001000,0
0010101011101010,0
1010001100000001,0
0001111110010111,1
0111110010000000,0
0010101110010000,0
0011100011110111,0
0001011100100000,1
1000101111100000,0
1110000110111011,0
0011000000010001,0
0110100101110011,0
1011111111000110,1
0101111101010101,1
1100111110011000,1
0100001000011100,1
1011100001111011,0
1010000001110101,0
0110111011000011,0
1000101111101100,0
0011000010011100,0
0001011110111111,1
0001101100011010,0
1011111101011110,1
0111100000101000,0
1001100110011001,0
1110000011110101,0
1100111010101010,0
1010101011000110,0
1010110111111110,0
1011000001110100,0
0011111000100001,0
0010101000000101,0
1110000101100110,0
0001110101001010,1
0001110000011100,1
1010001000101001,0
1110010111010101,0
0011100100001011,0
1111000111100010,0
1010001101000000,0
0111100100101110,1
0010010010010100,0
1100001111100010,0
1100001011100110,0
1110110100010000,0
1010010001001010,0
1011000110100110,0
1110101111000001,0
1011011110110101,1
0011100000110110,0
0100110101101101,1
1111110010011010,0
0001011001100010,1
0111000001111111,0
0001000000000000,0
0111001001100010,0
0011101110100101,0
1110100101010100,0
1110100111110011,0
1000101110101100,1
0100011101001101,1
1101111110100010,1
1011101100011000,0
0001001110100111,1
0111101011001101,0
1100101001010000,0
0110100011001110,0
1011111110011110,1
0100100101110110,1
0101100010011101,0
1010100110001110,0
1100001100111110,1
0111101110010110,0
1001101010001011,0
1010100100001101,0
0111000010101101,0
1111101001101100,0
1001111011100101,0
0001111101001110,1
1110101001011100,0
0000111100101110,1
0111101110000010,0
1110100111111001,0
1011111010011010,0
1110001100001000,0
0110100011100101,0
0101001001001010,0
0110001011100101,0
0010101010110000,0
1111010100100101,1
0111001011100111,0
1001011101100011,1
1110011100100100,1
0000100101111111,1
0001100111011101,0
0010001101000100,1
1110110100100010,1
1101011101101010,1
1101011010100011,0
0100111100001010,1
1000110111100000,0
1000101010011111,0
0011111010111010,1
1011111100111111,1
1111110111100000,0
1000010111100110,0
0111011001000101,1
1110001011101111,0
0011001111111010,1
0000000001101011,0
0101111000111000,1
1110100100001010,0
1111010100010010,1
0110110010101010,0
0101100010111100,0
1010000111011100,0
1100000011110100,0
0100100000000001,0
0000110010001101,0
0000000100000001,0
1110101010001101,0
0111111001001011,0
1101000111101001,0
0000101110101100,1
0100101100110101,1
0111101111000000,0
0110000100110010,0
1111101110000110,0
1101000010110000,0
0011010110101101,1
1011110000001000,0
1100011000100010,1
1001101011110110,0
1010011001011111,0
0001101001010100,0
1111101011010000,0
1010110011100101,0
0000001101011011,0
0101111010000100,0
0100111011010110,0
0101010010001101,0
1110001001111011,0
0110101110111110,1
0101100101111110,1
0111111101101101,1
0011101101111111,1
1001011000011110,1
1111110000011111,0
0111100000110000,0
1100011101100100,1
0100001110101000,0
0001001010001110,0
1011011000011010,0
0010111110010101,0
1100100110111100,0
1110100110011110,0
1000001111101100,0
1011001001001000,0
0011111100101001,1
0100000010000011,0
0101111010011100,1
0110101111010001,0
0111110100110001,1
1010101100110010,0
1110001010101100,0
1101100001110000,0
0110110001000000,0
1001011010101000,0
0001000100001010,1
0011110101111010,1
1100110101010001,0
1101010010010011,0
1101001111110001,0
1000110100011011,1
0101111110110111,1
0110000011000110,0
1101110110111111,1
1001110101110010,1
1101011101011101,1
0011111110111010,1
1011001000011011,0
1111111110110011,0
0010100110000001,0
1001111001011101,1
0100010111010101,0
1010100000010001,0
0111010000001011,0
0010000110010100,0
0000011011101001,0
1111011001010000,0
0001011001001001,1
0000111001111001,1
1101101100001010,1
0100001100110111,1
1100011100001100,1
0011001111110000,0
0101110010001110,0
0100011110101101,1
1111010000101110,1
0110011101011110,1
0010010010001011,0
0000111100000001,1
0111010101010010,1
1110111111011000,0
1110101011011011,0
1101110101010001,0
1110001010110110,0
0010110010111011,0
1011110010100000,0
0001000101110010,0
0000110000011100,1
0000001110101111,1
0011001000101001,0
0010000000110000,0
0000001000110010,0
1110101000110111,0
0101111011000001,0
0111000010010000,0
0001111101110100,1
1111101001011100,0
0010101011001111,0
0000011000001100,1
1011010100011111,1
1000111001000011,0
0111101101110111,1
0001101000001110,1
1011011000111011,0
0111001001001101,0
1001100111000011,0
1010110111111111,1
1111111100111101,1
1010001110011000,0
1100100011000100,0
1001000110101001,0
0001110010011110,1
0100111101101101,1
1010001100110000,0
1110000010010011,0
0101101111000001,0
0011001110100000,0
0111010001111101,1
1111010101010110,1
0010001001001001,0
1111100100111000,0
0101001101110010,1
1001110011101110,0
1100000100110111,0
1111001101000101,0
0000001100100011,0
0000101111110000,0
0110011110100010,1
0111100011001010,0
1111110011000111,0
1100110011011011,0
0101010101011011,1
0001001011111011,0
1000010011110010,0
1001111011011011,0
0100111110110111,1
1111001110001101,0
1010010101101111,1
1111101110111110,1
0010011111001110,1
0110110100001001,1
0100100000001111,0
0011011011010011,0
1100100010010011,0
1111000100100010,0
0100000100111110,1
1110010100001001,1
1101100101001110,0
0100111111001001,1
1011001011010011,0
0110110011011001,0
1101100110101110,1
1001110001100110,0
0100111101110000,1
1100010100010011,0
1011101111000010,0
1011100101101011,0
1011101000001001,0
