training_examples,Logistic Regression,Decision Tree,Random Forest,Support Vector Machines,K-Nearest Neighbors,Two-Class Bayes
360,0.812,0.731,0.748,0.817,0.736,0.796
720,0.832,0.735,0.777,0.834,0.75,0.82
1080,0.837,0.746,0.781,0.836,0.752,0.82
1440,0.836,0.752,0.789,0.835,0.764,0.823
1800,0.837,0.756,0.791,0.837,0.773,0.822
2160,0.838,0.753,0.792,0.838,0.761,0.824
2520,0.837,0.75,0.791,0.837,0.763,0.823
2880,0.836,0.753,0.797,0.835,0.764,0.827
3240,0.834,0.753,0.797,0.838,0.772,0.826
3600,0.836,0.754,0.797,0.84,0.773,0.825
3960,0.834,0.749,0.798,0.84,0.769,0.831
4320,0.836,0.749,0.799,0.841,0.759,0.831
4680,0.832,0.752,0.797,0.84,0.764,0.83
5040,0.834,0.751,0.796,0.839,0.768,0.829
5400,0.833,0.751,0.799,0.839,0.771,0.828
5760,0.834,0.754,0.801,0.84,0.771,0.828
6120,0.833,0.751,0.795,0.839,0.764,0.828
6480,0.833,0.75,0.804,0.842,0.766,0.828
6840,0.832,0.75,0.799,0.84,0.763,0.826
7200,0.832,0.745,0.795,0.838,0.767,0.827
