training_examples,Logistic Regression,Decision Tree,Random Forest,Support Vector Machines,K-Nearest Neighbors,Two-Class Bayes
360,0.607,0.588,0.559,0.634,0.567,0.607
720,0.618,0.603,0.568,0.634,0.574,0.62
1080,0.628,0.613,0.564,0.634,0.596,0.627
1440,0.626,0.625,0.567,0.634,0.59,0.627
1800,0.632,0.631,0.576,0.634,0.599,0.632
2160,0.633,0.634,0.583,0.634,0.592,0.633
2520,0.634,0.634,0.596,0.634,0.607,0.634
2880,0.634,0.634,0.59,0.634,0.6,0.634
3240,0.634,0.634,0.609,0.634,0.606,0.634
3600,0.634,0.634,0.611,0.634,0.596,0.634
3960,0.634,0.634,0.615,0.634,0.601,0.634
4320,0.634,0.634,0.618,0.634,0.609,0.634
4680,0.634,0.634,0.613,0.634,0.601,0.634
5040,0.634,0.634,0.607,0.634,0.608,0.634
5400,0.634,0.634,0.621,0.634,0.615,0.634
5760,0.634,0.634,0.626,0.634,0.616,0.634
6120,0.634,0.634,0.629,0.634,0.619,0.634
6480,0.634,0.634,0.641,0.634,0.612,0.634
6840,0.634,0.634,0.644,0.634,0.613,0.634
7200,0.634,0.634,0.637,0.634,0.626,0.634
