training_examples,Hash-RF,Indirection-RF, Arbiter-LR
360,0.559,0.531,0.904
720,0.568,0.542,0.928
1080,0.564,0.554,0.937
1440,0.567,0.556,0.941
1800,0.576,0.565,0.941
2160,0.583,0.555,0.94
2520,0.596,0.564,0.946
2880,0.59,0.565,0.943
3240,0.609,0.572,0.943
3600,0.611,0.561,0.943
3960,0.615,0.56,0.943
4320,0.618,0.555,0.944
4680,0.613,0.577,0.943
5040,0.607,0.581,0.943
5400,0.621,0.573,0.943
5760,0.626,0.574,0.943
6120,0.629,0.568,0.943
6480,0.641,0.577,0.943
6840,0.644,0.577,0.943
7200,0.637,0.581,0.943
