training_examples,Logistic Regression,Decision Tree,Random Forest,Support Vector Machines,K-Nearest Neighbors,Two-Class Bayes
360,0.583,0.57,0.531,0.617,0.539,0.588
720,0.609,0.595,0.542,0.619,0.564,0.608
1080,0.615,0.615,0.554,0.619,0.584,0.615
1440,0.617,0.612,0.556,0.619,0.593,0.617
1800,0.619,0.619,0.565,0.619,0.595,0.619
2160,0.619,0.619,0.555,0.619,0.606,0.619
2520,0.619,0.619,0.564,0.619,0.596,0.619
2880,0.619,0.619,0.565,0.619,0.6,0.619
3240,0.619,0.619,0.572,0.619,0.591,0.619
3600,0.619,0.619,0.561,0.619,0.587,0.619
3960,0.619,0.619,0.56,0.619,0.582,0.619
4320,0.619,0.619,0.555,0.619,0.585,0.619
4680,0.619,0.619,0.577,0.619,0.57,0.619
5040,0.619,0.619,0.581,0.619,0.568,0.619
5400,0.619,0.619,0.573,0.619,0.565,0.619
5760,0.619,0.619,0.574,0.619,0.559,0.619
6120,0.619,0.619,0.568,0.619,0.55,0.619
6480,0.619,0.619,0.577,0.619,0.543,0.619
6840,0.619,0.619,0.577,0.619,0.549,0.619
7200,0.619,0.619,0.581,0.619,0.533,0.619
