training_examples,1-Access,2-Access,3-Access,4-Access
360,0.73,0.802,0.49,0.529
720,0.737,0.804,0.503,0.538
1080,0.739,0.804,0.506,0.539
1440,0.739,0.806,0.514,0.546
1800,0.741,0.809,0.517,0.549
2160,0.742,0.807,0.518,0.551
2520,0.742,0.808,0.519,0.553
2880,0.741,0.808,0.522,0.55
3240,0.743,0.808,0.516,0.554
3600,0.742,0.808,0.522,0.556
3960,0.741,0.808,0.518,0.555
4320,0.744,0.808,0.521,0.559
4680,0.743,0.808,0.517,0.559
5040,0.741,0.807,0.513,0.558
5400,0.743,0.806,0.519,0.56
5760,0.744,0.807,0.516,0.563
6120,0.744,0.806,0.51,0.563
6480,0.743,0.806,0.513,0.564
6840,0.743,0.806,0.511,0.564
7200,0.744,0.805,0.511,0.566
