challenge,response
0010001001100101,0
1001000110110111,0
1101100011110001,0
1100110101100001,0
1100001110000110,0
0001000000100111,0
0100000101001100,1
0001111000101111,0
0111111011010100,0
1100001011001110,1
0111001100010001,0
0111100011100101,0
1010011011001110,0
0110000100101110,0
1100100111101001,0
0011010110111111,0
0001100000000111,0
0111110011100100,0
0000011101000001,0
1110010010110000,0
1101010111110100,0
0110001111001010,0
0110111011001001,1
1001101110000001,0
1100001100100100,0
1100010001100100,1
0000000010001010,0
1011001000100010,0
0111001000000100,0
0100010000101110,1
1011100010110110,0
1100110101000100,0
0011101010010000,0
1001011101010101,0
1111000111111101,1
0001101000101011,0
1110011011000011,0
0101000101000011,0
0000011111010100,0
0000010110110110,0
0000011010000011,1
1010011001001000,0
1000101010011010,0
0000001001011011,1
1111000001101100,0
1110000110011000,0
0110000110010110,0
1010111110111101,0
0011011101110011,0
1111100000010011,0
0110110000001111,0
1011100111010001,0
0000011101101111,0
1000011100010010,1
0011100011000000,0
1100001110000001,0
0111000000011001,0
1111000001101101,0
0111111011101101,1
1000110110001000,0
0011101110101011,0
0101100001111111,0
0011101100011010,0
1010110101000101,0
0011100000000010,0
1100001011001101,0
0111010110101000,0
1111001111000110,0
0100101000101111,0
1110110100101111,0
0000010110000000,1
0110101010001010,0
1101011001101011,0
1110101010010000,1
1000111001110011,0
1110110000010100,0
1010010001101101,0
0001100110011001,0
0010111110010111,0
1010000100011101,0
1111111000010111,0
1011100101000000,0
1101110000100101,0
0100101111100000,0
0001111011110010,0
1011111000111110,0
0101010100101011,0
1110010101000100,0
1011100010110011,0
1111100100100111,0
1011011000010000,1
1000000000110100,0
1110111110111010,0
1111011110011011,1
0110110000001111,0
1000000111111001,0
1101010001111101,0
1110100100000001,0
1010101110011001,0
0011000010011001,0
0100110110101001,1
0100100010111110,0
1001011001101011,0
1111100100110100,0
1110000111101010,0
0111111111010110,0
1101100010100000,0
1111000011011111,1
1000000101011010,0
0110010010110010,0
1001011011001000,0
1101101001110001,0
0000100011010110,0
0111101011110000,0
0011111000100100,0
1011111001100101,0
1100110000100010,0
0110011101111111,0
0110101000010000,1
1010101000101100,0
0010110001001010,0
0101110111111011,1
1000110001111110,1
1110000111111010,1
1011001111111010,1
1100011010011101,0
1010110010101011,0
1011110011111011,0
0101111111101100,0
0001011000100010,0
0111000001011111,1
1010100111101100,0
1000001000101000,0
0001101110100001,0
1100011101001000,0
0010100111101000,1
1000010101011100,0
1101011100000111,1
0110010010101100,0
0101111011011010,1
0111110101011100,0
1011101110010110,0
0000011110010010,1
0111100000100101,0
0000101100100001,0
0100111011111011,0
1011010000010000,0
1101100100101010,1
1111101110110010,1
1001110101100100,0
1001011111011010,0
1001010000000011,0
0110010011000010,1
1010010110101100,0
0010101110011100,1
0010101100101000,0
1000000010010010,0
0011101000011000,0
1111101101101001,0
0000001100100110,0
1100010101000001,1
0011001100010011,0
1000101000100100,0
1110101110001010,0
1101110000111011,0
1000110001011111,0
0011101101101111,0
0110011110001010,0
1000001110000110,0
0101100000000100,0
1111001111010100,0
1101100011110011,0
1001001111101010,0
0101101001110000,0
0111010110001001,0
1110100011100101,1
0100010011101111,0
1010100011000010,1
1000110001001001,0
