run,bits
0,0101000111010011101101000010010110010001010011010000010011110000
1,0101000111010011101101000010010110010001010011010000010011110000
2,0101000111010111101101000010010110010011010011010000010011110001
3,0101000111010111101101000010010110010011010011010000010011110001
4,0101100111010111101101000110010110010011010011010000010011110001
5,0101000111010111101101000010010110010011010011010000010011110001
6,0101000111010111101101000010010110010011010011010000010011110000
7,0101000111010011101101000010010110010001010011010000010011110000
8,0101000111010011101101000010010110010001010011010000010011110000
9,0101000111010011101101000010010110010001010011010000010011110000
10,0101000111010011101101000010010110010001010011010000010011110000
11,0101000111010111101101000010010110010011010011010000010011110001
12,0101100111010111101101000110010110010011010011010000010011110001
